OS,Runtime,Arch,Method,Iteration,ElapsedMs,PayloadBytes,ObjectCount
macOS,net8.0,arm64,Xml_Serialize,20,3.056055,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,21,3.513409,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,22,3.110505,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,23,3.182997,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,24,3.310579,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,25,3.184715,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,26,3.303797,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,27,3.220114,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,28,3.489537,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,29,3.210359,1253058,2000
macOS,net8.0,arm64,Xml_Serialize,30,3.268262,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,1,4.284937,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,2,4.260547,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,3,4.241845,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,4,4.250704,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,5,4.293882,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,6,4.258109,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,7,4.270685,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,8,4.242926,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,9,4.259838,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,10,4.259298,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,11,4.315374,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,12,4.365835,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,13,4.293705,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,14,4.284525,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,15,4.261148,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,16,4.270288,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,17,4.243820,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,18,4.246587,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,19,4.251139,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,20,4.253670,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,21,4.294672,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,22,4.297986,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,23,4.230051,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,24,4.223358,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,25,4.237837,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,26,4.223773,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,27,4.226326,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,28,4.244415,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,29,4.240957,1253058,2000
macOS,net8.0,arm64,Xml_Deserialize,30,4.256204,1253058,2000
macOS,net8.0,arm64,Protobuf_Serialize,1,0.798323,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,2,0.791334,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,3,0.795040,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,4,0.794919,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,5,0.788086,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,6,0.790127,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,7,0.825252,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,8,0.792751,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,9,0.794114,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,10,0.809285,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,11,0.790760,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,12,0.791995,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,13,0.793382,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,14,0.789910,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,15,0.795238,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,16,0.790998,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,17,0.790576,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,18,0.790912,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,19,0.791324,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,20,0.790875,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,21,0.792293,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,22,0.796733,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,23,0.793314,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,24,0.792680,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,25,0.793287,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,26,0.790664,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,27,0.789142,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,28,0.800767,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,29,0.800084,323122,2000
macOS,net8.0,arm64,Protobuf_Serialize,30,0.816792,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,1,0.772603,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,2,0.772183,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,3,0.774623,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,4,0.777676,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,5,0.773065,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,6,0.773233,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,7,0.772923,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,8,0.770978,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,9,0.770608,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,10,0.774425,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,11,0.774009,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,12,0.775924,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,13,0.770310,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,14,0.775006,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,15,0.775198,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,16,0.775592,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,17,0.771874,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,18,0.774877,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,19,0.770373,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,20,0.773852,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,21,0.772808,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,22,0.775375,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,23,0.773272,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,24,0.773701,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,25,0.773234,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,26,0.777442,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,27,0.772652,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,28,0.774414,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,29,0.772611,323122,2000
macOS,net8.0,arm64,Protobuf_Deserialize,30,0.774810,323122,2000
